Rank,Team,2020 opponent-kicking-points-per-game
1,Baltimore,4.7
2,Miami,5.6
3,Kansas City,6.1
3,Buffalo,6.1
5,Pittsburgh,6.1
6,Indianapolis,6.3
7,Detroit,6.3
8,New Orleans,6.3
8,LA Rams,6.3
10,New England,6.4
11,Tampa Bay,6.6
12,Green Bay,6.6
13,Tennessee,6.6
14,Cleveland,6.8
15,Arizona,6.9
16,Washington,6.9
17,Atlanta,7.3
18,Dallas,7.3
19,Seattle,7.4
20,Chicago,7.5
21,Houston,7.8
21,Carolina,7.8
21,LA Chargers,7.8
24,NY Giants,7.8
25,Philadelphia,7.9
26,San Francisco,8.5
27,NY Jets,8.6
28,Las Vegas,8.8
29,Cincinnati,8.9
30,Jacksonville,9.0
31,Minnesota,9.2
32,Denver,9.9
