Rank,Team,2020 third-downs-per-game
1,Pittsburgh,14.4
2,Washington,14.1
3,LA Chargers,14.0
4,LA Rams,13.8
5,Atlanta,13.8
6,Philadelphia,13.8
7,Dallas,13.4
8,Cincinnati,13.3
9,Denver,13.3
10,Baltimore,13.2
11,New Orleans,13.1
12,Jacksonville,12.9
13,NY Jets,12.9
14,Chicago,12.6
15,Miami,12.6
15,Arizona,12.6
17,Indianapolis,12.6
18,Tampa Bay,12.4
19,Cleveland,12.4
20,Las Vegas,12.4
20,NY Giants,12.4
22,San Francisco,12.3
23,Carolina,12.2
24,Houston,12.1
25,Detroit,12.0
26,Kansas City,11.9
27,Seattle,11.9
28,Buffalo,11.7
29,New England,11.6
30,Green Bay,11.4
31,Tennessee,11.4
32,Minnesota,11.3
