Rank,Team,2020 opponent-completions-per-game
1,Pittsburgh,18.8
2,Dallas,20.5
3,New Orleans,20.6
4,Washington,20.7
5,New England,20.8
6,LA Rams,21.2
7,LA Chargers,21.3
7,Cincinnati,21.3
9,San Francisco,21.3
10,Miami,21.4
11,Green Bay,21.5
12,Kansas City,22.2
13,Chicago,22.2
14,Minnesota,22.4
15,Philadelphia,22.8
16,Arizona,22.8
17,Las Vegas,23.1
17,Jacksonville,23.1
19,Indianapolis,23.2
20,Denver,23.4
21,Baltimore,23.4
22,Buffalo,23.4
23,Houston,23.6
24,Detroit,23.9
25,NY Giants,24.3
26,Cleveland,24.7
27,Carolina,24.9
28,Tennessee,25.9
29,NY Jets,26.1
30,Tampa Bay,26.6
31,Atlanta,26.6
32,Seattle,27.2
