Rank,Team,2020 opponent-assisted-tackles-per-game
1,Philadelphia,15.5
2,Houston,16.1
3,New England,16.4
4,Detroit,17.4
5,Miami,17.8
6,Atlanta,17.9
7,Buffalo,17.9
8,Seattle,18.0
9,Denver,18.3
9,NY Giants,18.3
11,Kansas City,18.3
12,Arizona,18.3
13,Pittsburgh,18.5
14,NY Jets,18.6
15,Indianapolis,18.8
16,LA Rams,18.9
17,Cincinnati,19.3
18,Chicago,19.4
19,Green Bay,19.5
20,Baltimore,19.8
21,Dallas,19.9
21,Jacksonville,19.9
23,Washington,20.1
24,Tampa Bay,20.7
25,Carolina,20.7
26,Tennessee,20.8
27,San Francisco,21.8
28,New Orleans,21.8
29,Las Vegas,22.0
30,Cleveland,23.1
31,Minnesota,23.8
32,LA Chargers,26.0
