Rank,Team,2020 opponent-seconds-per-play
1,Seattle,26.4
2,Buffalo,26.8
3,Cleveland,26.9
4,Green Bay,27.1
5,Atlanta,27.2
6,Las Vegas,27.2
7,Carolina,27.3
8,Baltimore,27.4
9,LA Rams,27.4
10,San Francisco,27.6
11,Miami,27.6
12,New Orleans,27.7
13,Cincinnati,27.7
14,Pittsburgh,28.0
15,Indianapolis,28.1
16,Kansas City,28.1
17,Minnesota,28.2
18,LA Chargers,28.3
19,Philadelphia,28.4
20,Chicago,28.5
21,NY Jets,28.5
22,Tennessee,28.5
23,Denver,28.6
24,Washington,28.6
25,NY Giants,28.7
26,Arizona,28.7
27,Tampa Bay,28.7
28,Dallas,28.8
29,Detroit,28.9
30,Jacksonville,29.4
31,Houston,29.6
32,New England,30.3
