Rank,Team,2020 opponent-first-downs-per-game
1,Pittsburgh,17.7
2,LA Rams,17.7
3,Washington,18.5
4,San Francisco,19.4
5,New Orleans,19.5
6,LA Chargers,20.3
7,Tampa Bay,20.4
8,Green Bay,20.4
9,Indianapolis,20.6
10,Denver,20.8
11,Baltimore,20.9
12,Miami,21.0
13,Chicago,21.1
14,New England,21.2
15,Philadelphia,21.3
16,Cincinnati,21.4
17,NY Giants,22.1
18,Kansas City,22.3
19,Buffalo,22.4
20,Dallas,22.4
21,Carolina,22.5
22,Arizona,22.7
23,Cleveland,22.8
24,Minnesota,22.9
25,Atlanta,22.9
26,Seattle,23.1
27,Las Vegas,23.8
27,NY Jets,23.8
29,Tennessee,24.3
30,Houston,24.4
31,Jacksonville,24.6
32,Detroit,25.9
