Rank,Team,2020 interceptions-thrown-per-game
1,Green Bay,0.3
2,Houston,0.4
3,Tennessee,0.5
4,Cleveland,0.5
5,Kansas City,0.5
6,New Orleans,0.6
7,Las Vegas,0.6
7,LA Chargers,0.6
9,Buffalo,0.6
10,Indianapolis,0.6
11,Atlanta,0.7
11,NY Giants,0.7
11,Cincinnati,0.7
14,Baltimore,0.7
15,Tampa Bay,0.8
16,LA Rams,0.8
17,Dallas,0.8
17,Detroit,0.8
17,Miami,0.8
17,Arizona,0.8
17,Minnesota,0.8
22,Seattle,0.8
23,NY Jets,0.9
23,New England,0.9
25,Pittsburgh,0.9
26,Chicago,0.9
27,Washington,1.0
27,Jacksonville,1.0
27,Carolina,1.0
30,San Francisco,1.1
31,Philadelphia,1.3
32,Denver,1.4
