Rank,Team,2020 first-downs-per-game
1,Kansas City,24.8
2,Buffalo,24.2
3,Minnesota,23.9
4,Arizona,23.8
5,LA Chargers,23.3
6,Dallas,23.2
7,Tennessee,23.1
8,New Orleans,23.0
8,Indianapolis,23.0
10,Atlanta,22.9
11,Tampa Bay,22.8
12,Green Bay,22.7
13,Las Vegas,22.4
14,Cleveland,22.0
15,Detroit,21.9
15,San Francisco,21.9
17,Seattle,21.6
18,Miami,21.6
19,LA Rams,21.4
20,Philadelphia,21.0
21,Pittsburgh,20.9
22,Carolina,20.9
23,New England,20.8
24,Baltimore,20.4
25,Houston,20.4
26,Chicago,20.4
27,Washington,20.3
28,Cincinnati,19.9
29,Jacksonville,19.4
30,Denver,19.3
31,NY Giants,18.6
32,NY Jets,16.8
