Rank,Team,2020 opponent-punts-per-offensive-score
1,LA Rams,1.4
2,Pittsburgh,1.3
3,Baltimore,1.2
4,Miami,1.1
5,Washington,1.1
6,New Orleans,1.1
7,Indianapolis,1.0
8,Tampa Bay,1.0
8,Arizona,1.0
10,Philadelphia,0.9
11,San Francisco,0.9
12,Chicago,0.9
13,Buffalo,0.9
14,Kansas City,0.9
15,Green Bay,0.8
16,New England,0.8
17,Seattle,0.8
18,LA Chargers,0.8
19,NY Giants,0.8
20,Atlanta,0.7
21,Cincinnati,0.7
22,Denver,0.7
23,Carolina,0.7
24,Dallas,0.7
25,NY Jets,0.7
26,Houston,0.6
27,Cleveland,0.6
28,Detroit,0.6
29,Tennessee,0.6
30,Jacksonville,0.6
31,Las Vegas,0.6
32,Minnesota,0.5
