Rank,Team,2020 rushing-touchdowns-per-game
1,New Orleans,1.7
2,Tennessee,1.5
3,Baltimore,1.4
4,Arizona,1.4
5,Cleveland,1.3
6,Las Vegas,1.3
6,New England,1.3
6,Minnesota,1.3
9,Indianapolis,1.2
10,San Francisco,1.2
10,Carolina,1.2
12,Washington,1.2
13,LA Rams,1.2
14,Detroit,1.1
15,Tampa Bay,1.0
15,Green Bay,1.0
15,Philadelphia,1.0
18,Miami,0.9
19,Buffalo,0.9
20,Seattle,0.9
21,Dallas,0.9
22,Kansas City,0.8
23,Atlanta,0.8
23,Denver,0.8
23,NY Giants,0.8
23,Cincinnati,0.8
27,Pittsburgh,0.8
28,LA Chargers,0.8
29,Chicago,0.7
30,Houston,0.6
31,Jacksonville,0.6
31,NY Jets,0.6
