Rank,Team,2020 points-per-play-margin
1,Tampa Bay,0.144
2,Baltimore,0.137
3,Green Bay,0.116
4,Buffalo,0.112
5,Seattle,0.105
6,New Orleans,0.104
7,Kansas City,0.075
8,Tennessee,0.064
9,Pittsburgh,0.063
10,Indianapolis,0.058
11,Miami,0.057
12,LA Rams,0.036
13,Arizona,0.03
14,Cleveland,0.008
15,Chicago,-0.008
16,Washington,-0.015
17,Houston,-0.026
18,New England,-0.026
19,San Francisco,-0.032
20,Atlanta,-0.033
21,Minnesota,-0.038
22,Carolina,-0.041
23,Las Vegas,-0.041
24,NY Giants,-0.051
25,Philadelphia,-0.081
26,LA Chargers,-0.087
27,Dallas,-0.094
28,Detroit,-0.106
29,Denver,-0.114
30,Cincinnati,-0.116
31,Jacksonville,-0.154
32,NY Jets,-0.166
