Rank,Team,2020 opponent-yards-per-play
1,LA Rams,4.7
2,Pittsburgh,5.0
3,New Orleans,5.0
4,Washington,5.0
5,San Francisco,5.0
6,Baltimore,5.1
7,Tampa Bay,5.1
8,Arizona,5.3
9,NY Giants,5.3
10,Chicago,5.4
11,Seattle,5.4
12,Indianapolis,5.4
13,Green Bay,5.5
14,Philadelphia,5.5
15,LA Chargers,5.5
16,Kansas City,5.6
17,Buffalo,5.6
18,Carolina,5.6
19,Denver,5.6
20,Cleveland,5.7
21,NY Jets,5.7
22,New England,5.8
23,Dallas,5.9
24,Miami,5.9
25,Tennessee,5.9
26,Las Vegas,6.0
27,Minnesota,6.1
28,Cincinnati,6.1
29,Atlanta,6.2
30,Houston,6.2
31,Jacksonville,6.3
32,Detroit,6.3
