Rank,Team,2020 opponent-yards-per-completion
1,LA Rams,9.2
2,Baltimore,9.2
3,Tampa Bay,9.4
4,Carolina,9.6
5,Washington,9.8
6,San Francisco,9.8
7,NY Giants,9.8
8,Arizona,9.9
9,Denver,10.2
10,Buffalo,10.2
11,Seattle,10.2
12,Green Bay,10.2
13,New Orleans,10.4
14,Philadelphia,10.4
15,Kansas City,10.5
16,Tennessee,10.5
17,Chicago,10.5
18,LA Chargers,10.5
19,NY Jets,10.5
20,Indianapolis,10.5
21,Pittsburgh,10.6
22,New England,10.7
23,Cleveland,10.7
24,Houston,10.9
25,Atlanta,11.1
26,Dallas,11.1
27,Cincinnati,11.4
28,Las Vegas,11.4
29,Jacksonville,11.4
30,Minnesota,11.6
31,Miami,11.7
32,Detroit,11.9
