Rank,Team,2020 punt-attempts-per-game
1,NY Jets,5.1
2,Pittsburgh,4.7
3,Philadelphia,4.6
4,Washington,4.6
5,LA Rams,4.4
6,Cincinnati,4.4
7,Miami,4.3
8,San Francisco,4.2
9,Chicago,4.2
10,Denver,4.1
10,NY Giants,4.1
12,Jacksonville,4.1
13,Seattle,4.1
14,LA Chargers,3.8
15,New Orleans,3.7
16,Detroit,3.7
17,Arizona,3.6
18,Atlanta,3.5
18,Minnesota,3.5
20,Houston,3.4
20,New England,3.4
22,Tampa Bay,3.4
23,Baltimore,3.3
24,Tennessee,3.2
25,Cleveland,3.2
26,Dallas,3.1
27,Indianapolis,3.0
28,Kansas City,2.9
29,Green Bay,2.9
30,Carolina,2.8
31,Las Vegas,2.8
32,Buffalo,2.7
