Rank,Team,2020 opponent-rushing-first-downs-per-game
1,Tampa Bay,5.2
2,New Orleans,5.3
3,Baltimore,5.4
4,Indianapolis,5.8
5,Pittsburgh,6.0
6,LA Rams,6.1
7,Atlanta,6.1
8,Philadelphia,6.1
9,Seattle,6.2
10,NY Jets,6.3
11,Washington,6.3
12,San Francisco,6.4
13,Chicago,6.6
14,Denver,6.6
15,LA Chargers,7.0
16,Miami,7.1
17,Cleveland,7.1
18,Las Vegas,7.1
18,Carolina,7.1
20,Kansas City,7.2
21,Green Bay,7.2
22,NY Giants,7.2
23,Arizona,7.4
24,Tennessee,7.4
25,Cincinnati,7.9
26,Detroit,7.9
27,Buffalo,8.1
28,New England,8.2
29,Minnesota,8.5
30,Jacksonville,8.8
31,Dallas,8.9
32,Houston,9.1
