Rank,Team,2020 punts-per-offensive-score
1,Buffalo,0.5
2,Las Vegas,0.5
3,Green Bay,0.6
4,Kansas City,0.6
5,Indianapolis,0.6
6,Tampa Bay,0.6
7,Tennessee,0.6
8,Dallas,0.7
9,Carolina,0.7
10,Baltimore,0.7
11,Atlanta,0.7
12,Cleveland,0.7
13,New Orleans,0.8
14,Houston,0.8
15,Minnesota,0.8
16,Arizona,0.8
17,Seattle,0.8
18,LA Chargers,0.9
19,Miami,0.9
20,New England,0.9
21,Detroit,0.9
22,Chicago,1.0
23,San Francisco,1.0
24,Pittsburgh,1.0
25,Denver,1.0
26,LA Rams,1.1
27,NY Giants,1.1
28,Washington,1.1
29,Jacksonville,1.2
30,Cincinnati,1.2
31,Philadelphia,1.3
32,NY Jets,1.7
