Rank,Team,2020 opp-yards-per-point
1,Miami,17.4
2,Baltimore,17.1
3,New England,16.0
4,Seattle,16.0
5,Buffalo,15.7
6,NY Giants,15.7
7,Kansas City,15.5
8,Atlanta,15.4
9,Arizona,15.3
10,Tampa Bay,15.3
11,LA Rams,15.2
12,Chicago,15.1
13,Washington,14.9
14,Tennessee,14.8
15,New Orleans,14.7
16,Cincinnati,14.7
17,Indianapolis,14.7
18,Pittsburgh,14.7
19,Houston,14.4
20,Carolina,14.3
21,Green Bay,14.2
22,Cleveland,14.1
23,Philadelphia,13.9
24,Jacksonville,13.6
25,NY Jets,13.6
26,Minnesota,13.2
27,Denver,13.2
28,Dallas,13.1
29,Las Vegas,13.0
30,Detroit,12.9
31,LA Chargers,12.9
32,San Francisco,12.9
