Rank,Team,2020 sack-pct
1,Pittsburgh,9.09%
2,LA Rams,8.67%
3,Philadelphia,8.46%
4,Washington,8.08%
5,Arizona,7.77%
6,Green Bay,7.13%
7,New Orleans,7.06%
8,Miami,7.00%
9,Denver,6.90%
10,Tampa Bay,6.82%
11,Indianapolis,6.57%
12,Seattle,6.55%
13,NY Giants,6.51%
14,Baltimore,5.99%
15,Houston,5.91%
16,Buffalo,5.83%
17,Chicago,5.79%
18,Dallas,5.70%
19,Kansas City,5.36%
20,Cleveland,5.34%
21,San Francisco,5.29%
22,NY Jets,4.87%
23,LA Chargers,4.74%
24,Carolina,4.72%
25,New England,4.63%
26,Atlanta,4.43%
27,Detroit,4.13%
28,Minnesota,4.08%
29,Tennessee,3.54%
30,Las Vegas,3.49%
31,Jacksonville,3.27%
32,Cincinnati,3.05%
