Rank,Team,2020 qb-sacked-pct
1,Pittsburgh,1.90%
2,Indianapolis,3.39%
3,Tampa Bay,3.54%
4,Kansas City,3.70%
5,Green Bay,4.09%
6,Cleveland,4.51%
7,Buffalo,4.66%
8,LA Rams,4.75%
9,New Orleans,4.79%
10,Arizona,4.80%
11,Las Vegas,4.84%
12,Tennessee,4.84%
13,LA Chargers,5.14%
14,Chicago,5.44%
15,Denver,5.44%
16,Miami,5.73%
17,Atlanta,6.13%
18,Carolina,6.14%
19,San Francisco,6.40%
20,Dallas,6.44%
21,Jacksonville,6.67%
22,Detroit,6.73%
23,Minnesota,7.03%
24,Washington,7.46%
25,Cincinnati,7.63%
26,New England,7.76%
27,NY Jets,7.93%
28,Baltimore,8.07%
29,Seattle,8.24%
30,Houston,8.39%
31,NY Giants,8.82%
32,Philadelphia,9.80%
