Rank,Team,2020 opponent-kickoffs-per-game
1,Baltimore,4.2
2,LA Rams,4.4
3,Miami,4.6
4,Pittsburgh,4.8
5,New Orleans,4.8
6,Arizona,4.9
6,New England,4.9
8,Tampa Bay,5.0
9,Washington,5.0
10,Kansas City,5.1
10,Buffalo,5.1
12,Indianapolis,5.1
13,Green Bay,5.1
14,NY Giants,5.2
15,Atlanta,5.3
16,Chicago,5.3
17,San Francisco,5.5
17,Carolina,5.5
19,Seattle,5.5
20,LA Chargers,5.6
21,Tennessee,5.6
22,Cleveland,5.7
23,Houston,5.8
23,Philadelphia,5.8
25,Dallas,5.9
26,NY Jets,5.9
26,Cincinnati,5.9
28,Detroit,6.3
28,Jacksonville,6.3
28,Denver,6.3
31,Las Vegas,6.3
32,Minnesota,6.6
