Rank,Team,2020 opponent-gross-punt-yards-per-game
1,Minnesota,120.6
2,Cleveland,127.6
3,Detroit,129.1
4,Jacksonville,130.6
5,Tennessee,132.2
6,Las Vegas,137.0
7,Carolina,139.6
8,NY Jets,142.0
9,Houston,142.8
10,New England,149.4
11,Dallas,153.8
12,Atlanta,154.3
13,Green Bay,154.9
14,Kansas City,160.0
15,NY Giants,161.8
16,Seattle,167.1
17,Buffalo,167.2
18,Cincinnati,174.8
19,Chicago,174.8
20,Tampa Bay,176.0
21,Denver,176.8
22,Indianapolis,177.6
23,Baltimore,178.5
24,LA Chargers,180.8
25,Arizona,186.6
26,Miami,189.8
27,New Orleans,196.2
28,Philadelphia,204.4
29,Washington,205.7
30,San Francisco,209.3
31,Pittsburgh,229.4
32,LA Rams,254.9
