Rank,Team,2020 yards-per-pass-attempt
1,Houston,8.9
2,Minnesota,8.3
3,Green Bay,8.1
4,Las Vegas,8.0
5,Kansas City,7.8
6,Buffalo,7.8
7,Tennessee,7.8
8,Tampa Bay,7.6
9,San Francisco,7.6
10,Detroit,7.6
11,Indianapolis,7.5
12,Carolina,7.5
13,Seattle,7.5
14,New Orleans,7.4
15,Atlanta,7.4
16,Cleveland,7.3
17,LA Chargers,7.3
18,Arizona,7.1
19,Baltimore,7.1
20,New England,7.1
21,LA Rams,7.1
22,Dallas,7.1
23,Miami,7.0
24,Denver,6.6
25,Cincinnati,6.5
26,NY Giants,6.5
27,Jacksonville,6.4
28,Chicago,6.4
29,Pittsburgh,6.4
30,Washington,6.4
31,NY Jets,6.2
32,Philadelphia,6.2
