Rank,Team,2020 gross-passing-yards-per-game
1,Kansas City,311.6
2,Houston,302.7
3,Buffalo,294.9
4,Tampa Bay,291.9
5,Atlanta,288.8
6,LA Chargers,284.3
7,Dallas,281.9
8,Detroit,274.8
9,Green Bay,274.5
10,Las Vegas,273.9
11,Pittsburgh,272.4
12,San Francisco,270.0
13,Minnesota,266.6
14,Indianapolis,264.4
15,Seattle,259.9
16,Carolina,258.1
17,Arizona,256.4
18,LA Rams,252.3
19,Jacksonville,247.2
20,Miami,246.1
21,New Orleans,244.4
22,Chicago,242.6
23,Washington,241.3
24,Cincinnati,237.1
25,Tennessee,234.8
26,Philadelphia,233.0
27,Cleveland,231.6
28,Denver,229.6
29,NY Giants,208.5
30,New England,195.3
31,NY Jets,194.7
32,Baltimore,184.4
