Rank,Team,2020 opponent-rushing-touchdowns-per-game
1,Tampa Bay,0.6
2,New Orleans,0.7
2,Baltimore,0.7
4,Chicago,0.7
5,San Francisco,0.8
6,LA Rams,0.8
7,Arizona,0.8
7,Cincinnati,0.8
9,Kansas City,0.8
10,NY Giants,0.9
11,Washington,0.9
11,Pittsburgh,0.9
13,Atlanta,0.9
14,NY Jets,1.0
14,Cleveland,1.0
14,Green Bay,1.0
14,Indianapolis,1.0
18,Miami,1.1
18,New England,1.1
18,Carolina,1.1
18,LA Chargers,1.1
22,Seattle,1.1
23,Tennessee,1.2
24,Minnesota,1.2
25,Dallas,1.3
25,Philadelphia,1.3
27,Buffalo,1.3
28,Denver,1.4
29,Jacksonville,1.4
30,Las Vegas,1.5
30,Houston,1.5
32,Detroit,1.7
