Rank,Team,2020 opponent-average-time-of-possession-net-of-ot
1,Green Bay,27:09
2,New Orleans,28:13
3,Baltimore,28:16
4,LA Chargers,28:20
5,LA Rams,28:20
6,San Francisco,28:36
7,Miami,28:43
8,Indianapolis,28:49
9,Carolina,29:00
10,Pittsburgh,29:04
11,Buffalo,29:05
12,Cincinnati,29:09
13,Atlanta,29:18
14,Las Vegas,29:21
15,Cleveland,29:23
16,Kansas City,29:50
17,Washington,30:09
18,Chicago,30:15
19,Minnesota,30:25
20,Seattle,30:27
21,Tampa Bay,30:54
22,Denver,31:01
23,New England,31:02
24,Philadelphia,31:02
25,Arizona,31:09
26,NY Giants,31:18
27,Dallas,31:38
28,Tennessee,31:47
29,Detroit,32:05
30,NY Jets,32:06
31,Jacksonville,32:11
32,Houston,32:42
