Rank,Team,2020 opponent-net-yards-per-punt-attempt
1,Jacksonville,35.6
2,Detroit,36.2
3,New England,37.9
4,NY Jets,38.3
5,Las Vegas,38.5
6,Miami,38.5
7,Dallas,38.8
8,New Orleans,38.8
9,Indianapolis,39.0
10,Denver,39.1
11,Buffalo,39.4
12,Cleveland,39.5
13,Arizona,40.1
14,Houston,40.1
15,Chicago,40.3
16,NY Giants,40.4
17,Baltimore,40.4
18,Carolina,40.7
19,Seattle,40.7
20,Pittsburgh,40.8
21,Tampa Bay,40.8
22,Cincinnati,41.4
23,Atlanta,41.8
24,Tennessee,42.0
25,Philadelphia,42.0
26,LA Chargers,42.2
27,Green Bay,42.2
28,Minnesota,42.4
29,Kansas City,43.2
30,Washington,43.4
31,San Francisco,43.8
32,LA Rams,44.3
