Rank,Team,2020 fumbles-lost-per-game
1,Indianapolis,0.2
2,Tennessee,0.3
3,Tampa Bay,0.3
4,NY Jets,0.3
4,New England,0.3
4,Carolina,0.3
7,Chicago,0.4
7,Seattle,0.4
9,LA Chargers,0.4
10,Green Bay,0.4
10,Baltimore,0.4
12,Atlanta,0.4
12,Miami,0.4
14,Pittsburgh,0.5
15,Detroit,0.5
15,Cleveland,0.5
15,Arizona,0.5
18,Kansas City,0.5
19,Jacksonville,0.6
19,Denver,0.6
19,Philadelphia,0.6
22,Buffalo,0.6
23,New Orleans,0.6
23,LA Rams,0.6
25,Minnesota,0.6
26,Washington,0.6
27,Houston,0.7
27,NY Giants,0.7
29,Dallas,0.8
29,Cincinnati,0.8
31,San Francisco,0.9
32,Las Vegas,1.0
