Rank,Team,2020 opponent-offensive-touchdowns-per-game
1,LA Rams,1.9
2,Baltimore,2.0
3,Washington,2.2
4,NY Giants,2.3
5,San Francisco,2.3
6,Tampa Bay,2.4
7,Pittsburgh,2.4
8,Miami,2.4
9,New Orleans,2.4
10,Arizona,2.4
10,New England,2.4
12,Chicago,2.5
13,Green Bay,2.5
14,Seattle,2.5
14,Indianapolis,2.5
16,Kansas City,2.7
17,Denver,2.7
18,Buffalo,2.7
19,Carolina,2.8
19,Cincinnati,2.8
21,LA Chargers,2.9
22,Philadelphia,2.9
23,Cleveland,3.0
24,Atlanta,3.1
24,Minnesota,3.1
26,NY Jets,3.1
27,Las Vegas,3.3
28,Tennessee,3.3
29,Dallas,3.4
29,Houston,3.4
31,Jacksonville,3.6
32,Detroit,4.1
