Rank,Team,2020 opponent-points-per-field-goal-attempt
1,Baltimore,2.0
2,Miami,2.2
3,Kansas City,2.3
4,Jacksonville,2.4
5,Detroit,2.4
6,Chicago,2.4
7,Houston,2.4
8,New England,2.4
9,Las Vegas,2.5
10,NY Jets,2.5
11,Arizona,2.5
12,Buffalo,2.5
13,Indianapolis,2.5
14,Seattle,2.5
15,Cleveland,2.5
15,Philadelphia,2.5
17,Pittsburgh,2.5
18,Tampa Bay,2.6
19,Atlanta,2.6
20,New Orleans,2.6
20,LA Rams,2.6
22,Cincinnati,2.6
23,LA Chargers,2.6
24,Tennessee,2.7
25,Dallas,2.7
25,NY Giants,2.7
27,San Francisco,2.7
28,Green Bay,2.7
29,Minnesota,2.7
30,Washington,2.7
31,Denver,2.8
32,Carolina,2.8
