Rank,Team,2020 4th-quarter-points-per-game
1,Las Vegas,8.9
2,Pittsburgh,8.6
3,Buffalo,8.6
4,Minnesota,8.6
5,Miami,8.3
6,Tennessee,8.3
7,Washington,8.1
8,Tampa Bay,8.1
9,Chicago,8.0
10,Cleveland,7.9
11,Seattle,7.9
12,San Francisco,7.9
13,Indianapolis,7.7
14,Denver,7.7
15,Dallas,7.6
16,Kansas City,7.5
17,Houston,7.4
18,New Orleans,7.3
19,Philadelphia,6.9
20,Arizona,6.9
21,Detroit,6.8
22,Atlanta,6.5
22,Green Bay,6.5
24,New England,6.4
25,LA Rams,6.3
26,Carolina,6.0
27,Baltimore,5.9
28,Jacksonville,5.7
29,Cincinnati,5.6
30,NY Giants,4.9
31,LA Chargers,4.4
32,NY Jets,3.3
