Rank,Team,2020 offensive-touchdowns-per-game
1,Green Bay,3.9
2,Tampa Bay,3.6
3,Tennessee,3.5
4,New Orleans,3.5
5,Minnesota,3.4
6,Seattle,3.4
7,Buffalo,3.3
8,Kansas City,3.2
9,Arizona,3.1
10,Pittsburgh,3.1
11,Cleveland,3.1
12,Las Vegas,3.0
13,Baltimore,2.9
14,Indianapolis,2.8
15,Detroit,2.8
15,San Francisco,2.8
17,Houston,2.7
17,LA Chargers,2.7
19,Atlanta,2.5
20,Dallas,2.4
20,Miami,2.4
22,LA Rams,2.4
23,Philadelphia,2.4
24,Chicago,2.3
25,Carolina,2.2
26,Washington,2.2
27,Jacksonville,2.1
27,Denver,2.1
29,New England,2.0
29,Cincinnati,2.0
31,NY Jets,1.6
31,NY Giants,1.6
