Rank,Team,2020 average-scoring-margin
1,Tampa Bay,9.1
2,Baltimore,8.8
3,Green Bay,8.3
4,New Orleans,8.2
5,Buffalo,6.8
6,Kansas City,5.7
7,Pittsburgh,5.5
8,Indianapolis,5.1
9,Seattle,4.6
10,Miami,4.1
11,LA Rams,4.0
12,Arizona,2.7
13,Tennessee,2.6
14,Washington,-0.1
15,Cleveland,-0.3
16,Chicago,-0.6
17,San Francisco,-0.9
18,Atlanta,-1.1
19,New England,-1.7
20,LA Chargers,-2.6
21,Las Vegas,-2.8
22,Minnesota,-2.8
23,Carolina,-3.3
24,NY Giants,-4.8
25,Dallas,-4.9
26,Houston,-5.0
27,Philadelphia,-5.3
28,Cincinnati,-7.1
29,Denver,-7.7
30,Detroit,-8.9
31,Jacksonville,-11.6
32,NY Jets,-13.4
