Rank,Team,2020 interception-pct
1,New England,3.64%
2,Miami,3.30%
3,Pittsburgh,3.21%
4,New Orleans,2.91%
5,Washington,2.81%
6,Tampa Bay,2.77%
7,Minnesota,2.77%
8,Kansas City,2.68%
9,Indianapolis,2.51%
10,LA Rams,2.45%
11,Tennessee,2.45%
12,Green Bay,2.34%
13,Cleveland,2.32%
14,Buffalo,2.31%
15,Jacksonville,2.25%
16,San Francisco,2.23%
17,LA Chargers,2.21%
18,Cincinnati,2.03%
19,Seattle,2.00%
20,Dallas,1.95%
21,Arizona,1.93%
22,Atlanta,1.92%
23,NY Giants,1.92%
24,Denver,1.76%
25,Las Vegas,1.72%
26,Chicago,1.71%
27,Baltimore,1.67%
28,NY Jets,1.65%
29,Philadelphia,1.51%
30,Detroit,1.26%
31,Carolina,1.20%
32,Houston,0.55%
