Rank,Team,2020 points-per-game
1,Green Bay,31.5
2,Tampa Bay,30.8
3,Buffalo,29.9
4,Tennessee,29.6
5,New Orleans,29.1
6,Kansas City,28.5
7,Seattle,28.2
8,Indianapolis,27.9
9,Baltimore,27.3
10,Las Vegas,27.1
11,Minnesota,26.9
12,Pittsburgh,26.6
13,Cleveland,26.3
14,Arizona,25.6
15,Miami,25.3
16,Atlanta,24.8
17,Dallas,24.7
18,Houston,24.0
18,LA Chargers,24.0
20,Detroit,23.6
21,San Francisco,23.5
22,LA Rams,23.3
23,Chicago,22.4
24,Carolina,21.9
25,Washington,21.1
26,Philadelphia,20.9
27,New England,20.4
28,Denver,20.2
29,Cincinnati,19.4
30,Jacksonville,19.1
31,NY Giants,17.5
32,NY Jets,15.2
