Rank,Team,2020 opponent-yards-per-game
1,LA Rams,292.9
2,New Orleans,307.2
3,Pittsburgh,310.8
4,San Francisco,314.4
5,Washington,316.5
6,Baltimore,316.9
7,Green Bay,329.9
8,Tampa Bay,331.7
9,Indianapolis,335.9
10,LA Chargers,343.4
11,Chicago,347.3
12,NY Giants,349.3
13,Arizona,351.9
14,New England,353.8
15,Kansas City,354.9
16,Carolina,360.1
17,Buffalo,362.7
18,Philadelphia,363.1
19,Miami,367.9
20,Denver,367.9
21,Cleveland,373.7
22,Seattle,377.8
23,Dallas,386.4
24,NY Jets,387.6
25,Las Vegas,389.1
26,Cincinnati,389.2
27,Minnesota,393.3
28,Atlanta,398.4
29,Tennessee,398.4
30,Houston,416.8
31,Jacksonville,417.7
32,Detroit,419.8
