Rank,Team,2020 defensive-points-per-game
1,LA Rams,2.1
2,Indianapolis,2.0
3,Buffalo,1.5
4,Cleveland,1.4
4,Baltimore,1.4
6,Washington,1.4
6,Pittsburgh,1.4
8,Carolina,1.3
9,LA Chargers,1.0
9,Philadelphia,1.0
11,Green Bay,0.9
12,Dallas,0.9
12,Miami,0.9
12,New England,0.9
12,NY Giants,0.9
16,Kansas City,0.8
17,NY Jets,0.6
18,Chicago,0.5
19,New Orleans,0.5
20,Tampa Bay,0.5
21,Atlanta,0.4
21,Jacksonville,0.4
21,San Francisco,0.4
21,Houston,0.4
25,Tennessee,0.4
26,Seattle,0.4
27,Detroit,0.1
27,Arizona,0.1
27,Minnesota,0.1
30,Las Vegas,0.0
30,Denver,0.0
30,Cincinnati,0.0
