Rank,Team,2020 fourth-downs-per-game
1,Philadelphia,2.2
2,Dallas,1.9
3,Indianapolis,1.8
4,Chicago,1.7
5,Carolina,1.7
5,Cincinnati,1.7
7,Atlanta,1.6
7,Jacksonville,1.6
9,Arizona,1.6
9,LA Chargers,1.6
11,Cleveland,1.5
12,Minnesota,1.4
13,NY Giants,1.4
14,Las Vegas,1.3
15,Pittsburgh,1.3
16,Detroit,1.3
17,Washington,1.2
18,Green Bay,1.2
18,Baltimore,1.2
20,Kansas City,1.2
21,NY Jets,1.1
22,LA Rams,1.1
23,New England,1.1
24,Tennessee,1.0
24,Houston,1.0
26,New Orleans,0.9
27,Seattle,0.9
28,San Francisco,0.9
28,Denver,0.9
30,Tampa Bay,0.9
31,Buffalo,0.6
32,Miami,0.6
