Rank,Team,2020 opponent-rushing-play-pct
1,Tampa Bay,34.03%
2,Atlanta,36.75%
3,Seattle,36.77%
4,Baltimore,37.47%
5,Cleveland,38.24%
6,Indianapolis,39.14%
7,Carolina,39.92%
8,New Orleans,40.00%
9,LA Rams,40.16%
10,Buffalo,40.47%
11,Tennessee,40.53%
12,Green Bay,40.55%
13,NY Jets,41.17%
14,Miami,41.28%
15,NY Giants,41.30%
16,Arizona,41.37%
17,Denver,41.61%
18,Kansas City,41.65%
19,Pittsburgh,41.94%
20,Las Vegas,42.16%
21,Washington,42.47%
22,LA Chargers,42.83%
23,San Francisco,43.13%
24,Chicago,43.20%
25,Cincinnati,45.35%
26,Philadelphia,45.38%
27,Minnesota,45.56%
28,Detroit,45.60%
29,Houston,46.16%
30,New England,47.25%
31,Dallas,48.39%
32,Jacksonville,48.41%
