Rank,Team,2020 special-teams-points-per-game
1,Jacksonville,0.9
1,New England,0.9
3,Indianapolis,0.8
4,Kansas City,0.7
5,Dallas,0.4
5,Detroit,0.4
5,Miami,0.4
5,Denver,0.4
5,Cincinnati,0.4
5,Philadelphia,0.4
11,Chicago,0.4
11,Tennessee,0.4
13,Baltimore,0.4
14,Buffalo,0.4
15,Atlanta,0.0
15,Washington,0.0
15,Pittsburgh,0.0
15,New Orleans,0.0
15,Las Vegas,0.0
15,San Francisco,0.0
15,NY Jets,0.0
15,Cleveland,0.0
15,Houston,0.0
15,Tampa Bay,0.0
15,Arizona,0.0
15,Carolina,0.0
15,LA Chargers,0.0
15,NY Giants,0.0
15,LA Rams,0.0
15,Green Bay,0.0
15,Seattle,0.0
15,Minnesota,0.0
