Rank,Team,2020 yards-per-play
1,Houston,6.4
2,Kansas City,6.3
3,Green Bay,6.3
4,Minnesota,6.2
5,Tennessee,6.1
6,Buffalo,6.0
7,Tampa Bay,6.0
8,Las Vegas,5.9
9,Indianapolis,5.9
10,Baltimore,5.8
11,Cleveland,5.8
12,Seattle,5.7
13,Arizona,5.7
14,New Orleans,5.7
15,San Francisco,5.7
16,Detroit,5.7
17,Carolina,5.6
18,Atlanta,5.5
19,LA Rams,5.5
20,LA Chargers,5.4
21,New England,5.3
22,Dallas,5.3
23,Miami,5.3
24,Pittsburgh,5.2
25,Jacksonville,5.2
26,Denver,5.2
27,Chicago,5.1
28,Philadelphia,5.0
29,NY Giants,5.0
30,Cincinnati,4.9
31,Washington,4.9
32,NY Jets,4.7
