Rank,Team,2020 1st-quarter-time-of-possession-share-pct
1,Green Bay,58.75%
2,Baltimore,58.26%
3,San Francisco,57.83%
4,NY Jets,55.85%
5,Carolina,54.06%
6,LA Chargers,53.92%
7,Indianapolis,53.90%
8,LA Rams,53.77%
9,Pittsburgh,52.99%
10,Cincinnati,52.01%
11,Philadelphia,51.22%
12,Cleveland,50.93%
13,Kansas City,50.85%
14,Atlanta,50.57%
15,Miami,50.46%
16,Seattle,50.28%
17,New Orleans,50.16%
18,Washington,49.18%
19,Jacksonville,49.04%
20,Denver,49.00%
21,Chicago,48.91%
22,Minnesota,48.74%
23,Buffalo,48.73%
24,Tampa Bay,48.33%
25,Detroit,44.98%
26,NY Giants,44.71%
27,Arizona,44.58%
28,Houston,44.41%
29,Tennessee,44.28%
30,Las Vegas,43.28%
31,Dallas,41.92%
32,New England,41.90%
