Rank,Team,2020 opponent-offensive-points-per-game
1,Baltimore,17.2
2,LA Rams,17.9
3,Miami,19.8
4,Pittsburgh,20.4
5,Washington,20.6
6,Tampa Bay,20.8
7,New Orleans,21.1
8,New England,21.2
9,Indianapolis,21.4
10,Arizona,21.8
10,NY Giants,21.8
12,Green Bay,21.8
13,San Francisco,22.4
14,Chicago,22.4
15,Kansas City,22.6
16,Buffalo,23.3
17,Seattle,23.4
18,Carolina,25.1
19,LA Chargers,25.4
20,Cleveland,25.5
21,Philadelphia,25.6
22,Cincinnati,25.9
23,Atlanta,25.9
24,Denver,26.1
25,Tennessee,27.1
26,NY Jets,27.3
27,Minnesota,28.0
28,Dallas,28.1
29,Houston,28.3
30,Las Vegas,28.8
31,Jacksonville,30.8
32,Detroit,31.4
