Rank,Team,2020 opponent-plays-per-game
1,Green Bay,60.3
2,New England,61.4
3,New Orleans,61.7
4,Indianapolis,61.8
5,LA Rams,62.1
6,Baltimore,62.3
7,San Francisco,62.3
7,LA Chargers,62.3
9,Miami,62.4
10,Pittsburgh,62.4
11,Washington,63.3
12,Cincinnati,63.8
13,Carolina,63.9
14,Kansas City,63.9
15,Chicago,64.4
16,Tampa Bay,64.5
17,Atlanta,64.6
18,Minnesota,64.8
19,Las Vegas,64.9
20,Buffalo,65.2
21,Denver,65.2
22,NY Giants,65.4
23,Cleveland,65.7
24,Dallas,65.9
24,Arizona,65.9
26,Philadelphia,66.3
27,Detroit,66.8
27,Jacksonville,66.8
27,Houston,66.8
30,Tennessee,67.1
31,NY Jets,67.6
32,Seattle,69.6
