Rank,Team,2020 opponent-pass-attempts-per-game
1,New England,30.9
2,Dallas,32.1
3,Pittsburgh,32.9
4,Philadelphia,33.1
5,Green Bay,33.3
6,Jacksonville,33.3
7,Washington,33.5
8,San Francisco,33.6
9,Houston,33.8
9,Cincinnati,33.8
9,Minnesota,33.8
12,LA Chargers,33.9
13,LA Rams,33.9
14,Miami,34.1
15,New Orleans,34.4
16,Chicago,34.5
17,Detroit,34.8
18,Indianapolis,35.1
19,Kansas City,35.3
20,Denver,35.4
21,Arizona,35.6
22,NY Giants,35.9
23,Las Vegas,36.3
24,Buffalo,36.5
25,Carolina,36.6
26,Baltimore,36.6
27,NY Jets,37.8
28,Cleveland,38.4
29,Tennessee,38.5
30,Atlanta,39.1
31,Tampa Bay,39.7
32,Seattle,41.1
