Rank,Team,2020 defensive-touchdowns-per-game
1,LA Rams,0.3
2,Indianapolis,0.2
3,Buffalo,0.2
4,Carolina,0.2
5,Washington,0.2
5,Pittsburgh,0.2
7,Cleveland,0.2
7,Baltimore,0.2
9,Dallas,0.1
9,Miami,0.1
9,New England,0.1
9,LA Chargers,0.1
9,NY Giants,0.1
9,Philadelphia,0.1
15,Green Bay,0.1
16,Kansas City,0.1
17,Atlanta,0.1
17,Jacksonville,0.1
17,San Francisco,0.1
17,NY Jets,0.1
17,Houston,0.1
22,Chicago,0.1
22,Tennessee,0.1
24,New Orleans,0.1
25,Tampa Bay,0.1
26,Las Vegas,0.0
26,Detroit,0.0
26,Arizona,0.0
26,Denver,0.0
26,Cincinnati,0.0
26,Seattle,0.0
26,Minnesota,0.0
