Rank,Team,2020 qb-sacked-per-game
1,Pittsburgh,0.8
2,Indianapolis,1.2
3,Tampa Bay,1.4
4,Green Bay,1.4
5,Cleveland,1.5
6,Kansas City,1.5
7,Tennessee,1.5
8,New Orleans,1.7
9,Las Vegas,1.8
10,LA Rams,1.8
11,Arizona,1.8
12,Buffalo,1.8
13,Denver,2.0
14,Miami,2.1
14,LA Chargers,2.1
16,Chicago,2.2
17,Carolina,2.3
18,Baltimore,2.3
19,New England,2.3
20,San Francisco,2.4
20,Minnesota,2.4
22,Atlanta,2.6
23,Detroit,2.6
24,NY Jets,2.7
25,Dallas,2.8
25,Jacksonville,2.8
27,Cincinnati,3.0
28,Washington,3.1
29,Seattle,3.1
30,Houston,3.1
30,NY Giants,3.1
32,Philadelphia,4.1
