Rank,Team,2020 yards-per-point
1,Tampa Bay,12.5
2,Green Bay,12.5
3,New Orleans,12.8
4,Buffalo,12.9
5,Seattle,12.9
6,Tennessee,13.0
7,Pittsburgh,13.0
8,Baltimore,13.3
9,Miami,13.4
10,Indianapolis,13.7
11,Cleveland,14.0
12,Las Vegas,14.1
13,Kansas City,14.5
14,Chicago,14.5
15,Minnesota,14.6
16,Detroit,14.9
17,Atlanta,14.9
18,Arizona,15.0
19,Dallas,15.1
20,Washington,15.2
21,Houston,15.6
22,LA Rams,15.7
23,San Francisco,15.8
24,LA Chargers,15.9
25,Carolina,16.0
26,Philadelphia,16.0
27,New England,16.1
28,Cincinnati,16.5
29,Denver,16.6
30,Jacksonville,17.1
31,NY Giants,17.1
32,NY Jets,18.4
