Rank,Team,2020 points-per-field-goal-attempt
1,Green Bay,3.0
1,Seattle,3.0
3,NY Giants,2.9
4,Pittsburgh,2.9
5,Atlanta,2.9
6,Las Vegas,2.8
7,Chicago,2.8
8,New England,2.8
9,Tampa Bay,2.8
10,Miami,2.8
11,Kansas City,2.7
12,Houston,2.6
13,San Francisco,2.5
13,Indianapolis,2.5
15,Dallas,2.5
16,Baltimore,2.5
17,LA Rams,2.5
18,Cleveland,2.4
19,Buffalo,2.4
20,New Orleans,2.4
21,Carolina,2.4
22,Washington,2.4
22,Denver,2.4
24,Cincinnati,2.4
25,Arizona,2.3
26,Detroit,2.3
26,NY Jets,2.3
28,Philadelphia,2.2
29,Tennessee,2.2
30,LA Chargers,2.2
31,Jacksonville,2.2
32,Minnesota,2.0
