Rank,Team,2020 penalties-per-play
1,New England,0.03
2,LA Rams,0.03
3,Miami,0.04
4,Pittsburgh,0.04
5,Tampa Bay,0.04
6,Denver,0.04
7,Atlanta,0.04
8,Tennessee,0.04
9,Minnesota,0.04
10,Houston,0.04
11,LA Chargers,0.04
12,NY Giants,0.04
13,Cincinnati,0.04
14,Washington,0.04
15,Green Bay,0.04
16,Seattle,0.04
17,San Francisco,0.04
18,Dallas,0.04
19,Chicago,0.04
20,Indianapolis,0.04
21,Buffalo,0.04
22,Cleveland,0.05
23,Detroit,0.05
24,New Orleans,0.05
25,Carolina,0.05
26,Las Vegas,0.05
27,NY Jets,0.05
28,Philadelphia,0.05
29,Kansas City,0.05
30,Jacksonville,0.05
31,Baltimore,0.05
32,Arizona,0.05
