Rank,Team,2020 touchbacks-per-game
1,Tampa Bay,5.3
2,Carolina,4.4
3,Kansas City,4.4
4,New Orleans,4.3
5,Buffalo,4.2
6,Miami,4.0
7,Washington,3.9
8,Baltimore,3.8
9,Las Vegas,3.8
10,Dallas,3.8
11,Cincinnati,3.5
12,Denver,3.4
13,LA Rams,3.3
14,Minnesota,3.3
15,Tennessee,3.3
16,Houston,3.3
17,Seattle,3.2
18,LA Chargers,3.1
19,Green Bay,3.1
20,Cleveland,2.9
21,Atlanta,2.9
21,Philadelphia,2.9
23,Pittsburgh,2.8
23,Indianapolis,2.8
25,San Francisco,2.8
26,Jacksonville,2.6
26,New England,2.6
28,Chicago,2.6
29,Arizona,2.4
30,NY Jets,2.1
31,NY Giants,1.9
32,Detroit,1.6
