Rank,Team,2020 kicking-points-per-game
1,Atlanta,9.3
2,Las Vegas,9.0
2,Miami,9.0
4,Buffalo,8.8
5,Tampa Bay,8.8
6,Dallas,8.4
7,Indianapolis,8.4
8,Kansas City,7.9
9,Baltimore,7.8
10,New Orleans,7.6
11,Chicago,7.6
11,Seattle,7.6
13,Carolina,7.5
14,Houston,7.4
15,Arizona,7.1
15,NY Giants,7.1
17,Cincinnati,7.1
18,LA Rams,7.0
19,Tennessee,6.9
20,Green Bay,6.8
21,Washington,6.8
22,Denver,6.8
23,Pittsburgh,6.8
24,New England,6.8
24,LA Chargers,6.8
26,San Francisco,6.5
26,Cleveland,6.5
28,Detroit,6.3
29,NY Jets,5.2
30,Minnesota,5.1
31,Jacksonville,4.9
32,Philadelphia,4.1
