Rank,Team,2020 block-field-goal-pct
1,Las Vegas,5.13%
2,Tennessee,3.85%
3,New England,3.70%
4,New Orleans,3.33%
4,LA Rams,3.33%
6,Houston,3.23%
7,Cleveland,3.13%
7,Kansas City,3.13%
7,Philadelphia,3.13%
10,Chicago,2.78%
11,Minnesota,2.56%
12,Denver,2.38%
13,Dallas,0.00%
13,Atlanta,0.00%
13,Washington,0.00%
13,Pittsburgh,0.00%
13,Detroit,0.00%
13,Jacksonville,0.00%
13,San Francisco,0.00%
13,NY Jets,0.00%
13,Miami,0.00%
13,Tampa Bay,0.00%
13,Arizona,0.00%
13,Buffalo,0.00%
13,Carolina,0.00%
13,LA Chargers,0.00%
13,NY Giants,0.00%
13,Green Bay,0.00%
13,Cincinnati,0.00%
13,Baltimore,0.00%
13,Seattle,0.00%
13,Indianapolis,0.00%
