Rank,Team,2020 field-goals-made-per-game
1,Atlanta,2.4
2,Miami,2.3
3,Dallas,2.1
4,Las Vegas,2.1
5,Indianapolis,1.9
6,NY Giants,1.9
7,Tampa Bay,1.9
8,Buffalo,1.8
9,Chicago,1.8
10,Carolina,1.8
11,Denver,1.8
12,Houston,1.7
12,Cincinnati,1.7
14,Kansas City,1.7
15,Washington,1.6
16,New England,1.6
17,Baltimore,1.6
18,LA Rams,1.6
19,Seattle,1.5
20,LA Chargers,1.5
21,Arizona,1.4
22,Pittsburgh,1.4
23,New Orleans,1.4
24,San Francisco,1.4
25,Detroit,1.3
25,NY Jets,1.3
27,Tennessee,1.3
28,Cleveland,1.2
29,Jacksonville,1.1
30,Green Bay,1.1
31,Minnesota,0.9
32,Philadelphia,0.9
