Rank,Team,2020 opponent-1st-half-points-per-game
1,Baltimore,8.2
2,Buffalo,9.5
3,Seattle,10.4
4,Atlanta,10.5
5,Green Bay,10.8
6,Miami,10.8
7,New Orleans,10.9
8,San Francisco,11.2
9,Chicago,11.4
10,Cleveland,11.5
10,New England,11.5
12,NY Giants,11.6
13,Kansas City,11.7
14,Pittsburgh,12.0
15,LA Rams,12.1
16,LA Chargers,12.2
17,Cincinnati,12.3
18,Arizona,12.5
19,Carolina,12.6
20,Tampa Bay,12.7
21,Philadelphia,12.9
22,Minnesota,13.2
23,Tennessee,13.5
24,Indianapolis,13.9
25,Denver,14.1
26,Las Vegas,14.3
27,Washington,15.1
28,NY Jets,15.1
29,Houston,16.1
30,Jacksonville,16.8
31,Detroit,16.9
32,Dallas,17.1
