Rank,Team,2020 opponent-field-goal-attempts-per-game
1,Detroit,1.3
2,Miami,1.4
3,Indianapolis,1.5
4,Pittsburgh,1.5
4,Tennessee,1.5
6,Green Bay,1.6
6,Baltimore,1.6
8,Buffalo,1.6
9,New Orleans,1.7
9,LA Rams,1.7
11,Kansas City,1.7
12,Dallas,1.7
12,New England,1.7
14,Tampa Bay,1.7
15,Atlanta,1.8
16,Cleveland,1.8
17,Washington,1.8
18,Arizona,1.9
19,Houston,1.9
19,Carolina,1.9
21,LA Chargers,2.0
21,Philadelphia,2.0
23,Chicago,2.1
24,NY Jets,2.2
25,Seattle,2.2
26,NY Giants,2.3
27,San Francisco,2.3
28,Cincinnati,2.4
29,Las Vegas,2.4
29,Jacksonville,2.4
29,Minnesota,2.4
32,Denver,2.6
