Rank,Team,2020 2nd-quarter-time-of-possession-share-pct
1,Atlanta,56.63%
2,LA Rams,54.51%
3,Green Bay,54.25%
4,New Orleans,53.95%
5,New England,53.59%
6,LA Chargers,53.17%
7,San Francisco,52.83%
8,Cincinnati,51.68%
9,Philadelphia,51.47%
10,Pittsburgh,51.32%
11,Indianapolis,50.95%
12,Buffalo,50.89%
13,Las Vegas,50.74%
14,Chicago,50.42%
15,Carolina,50.42%
16,Baltimore,50.27%
17,Denver,50.12%
18,Cleveland,49.61%
19,Miami,49.21%
20,Seattle,49.07%
21,Dallas,48.64%
22,Tampa Bay,48.47%
23,Arizona,48.10%
24,Houston,48.02%
25,Washington,47.77%
26,Jacksonville,47.26%
27,NY Jets,47.04%
28,Kansas City,46.62%
29,Detroit,46.55%
30,Tennessee,45.81%
31,Minnesota,45.73%
32,NY Giants,44.45%
