Rank,Team,2020 opponent-extra-points-made-per-game
1,Baltimore,1.6
2,Seattle,1.7
3,NY Giants,1.8
4,Washington,2.0
4,New Orleans,2.0
4,Buffalo,2.0
4,LA Rams,2.0
8,Tampa Bay,2.2
9,Green Bay,2.2
10,Pittsburgh,2.2
11,Arizona,2.3
12,Cleveland,2.3
13,San Francisco,2.3
13,New England,2.3
13,Carolina,2.3
16,Kansas City,2.3
17,Chicago,2.4
18,Miami,2.4
19,LA Chargers,2.5
20,Denver,2.6
21,Tennessee,2.6
21,Indianapolis,2.6
23,Minnesota,2.6
24,Cincinnati,2.7
25,Atlanta,2.8
25,Las Vegas,2.8
27,Dallas,2.8
27,Philadelphia,2.8
29,Houston,3.1
30,NY Jets,3.1
31,Jacksonville,3.2
32,Detroit,3.3
