Rank,Team,2020 opponent-passing-first-downs-per-game
1,Pittsburgh,10.3
2,Washington,10.5
3,LA Rams,10.6
4,San Francisco,11.0
5,Dallas,11.3
6,New Orleans,11.4
7,Green Bay,11.5
8,LA Chargers,11.6
9,New England,11.7
10,Chicago,12.0
10,Cincinnati,12.0
12,Miami,12.1
13,Denver,12.6
14,Kansas City,12.6
15,Buffalo,12.7
16,Indianapolis,12.9
17,Arizona,12.9
18,Minnesota,13.0
19,Philadelphia,13.1
20,Baltimore,13.1
21,Jacksonville,13.1
22,Carolina,13.2
23,Tampa Bay,13.4
24,NY Giants,13.4
25,Houston,13.9
26,Las Vegas,13.9
27,Cleveland,14.4
28,NY Jets,14.7
29,Atlanta,14.9
30,Tennessee,15.0
31,Seattle,15.3
32,Detroit,15.8
