Rank,Team,2020 2nd-quarter-points-per-game
1,Green Bay,13.6
2,Tampa Bay,10.4
3,New Orleans,10.2
4,Kansas City,9.8
5,Buffalo,9.7
6,Pittsburgh,9.6
7,Indianapolis,9.6
8,LA Chargers,9.1
9,Cleveland,9.1
10,Baltimore,8.9
11,Tennessee,8.5
12,Las Vegas,8.4
13,Atlanta,8.2
14,Dallas,8.1
15,Seattle,8.1
16,Houston,7.8
17,Chicago,7.4
18,LA Rams,6.9
19,Miami,6.9
20,Arizona,6.8
21,Carolina,6.7
21,Cincinnati,6.7
23,New England,6.5
24,Philadelphia,6.4
25,Detroit,6.0
26,Jacksonville,5.9
27,Washington,5.4
28,San Francisco,5.3
29,Minnesota,5.1
30,Denver,4.7
31,NY Giants,4.5
32,NY Jets,4.2
