Rank,Team,2020 rushing-first-down-pct
1,Baltimore,51.63%
2,New England,43.07%
3,New Orleans,39.37%
4,Cleveland,37.63%
5,Tennessee,36.39%
6,Minnesota,36.29%
7,LA Rams,35.84%
8,Arizona,35.70%
9,Indianapolis,35.55%
10,NY Jets,34.94%
11,Philadelphia,33.93%
12,Las Vegas,33.70%
13,Washington,33.33%
14,Carolina,32.84%
15,Seattle,31.88%
16,Green Bay,31.54%
17,Dallas,31.00%
18,NY Giants,30.64%
19,Denver,30.52%
20,LA Chargers,29.76%
21,Miami,28.99%
22,Cincinnati,28.93%
23,San Francisco,28.86%
24,Buffalo,28.70%
25,Kansas City,27.97%
26,Chicago,27.75%
27,Detroit,26.57%
28,Jacksonville,25.81%
29,Houston,25.46%
30,Pittsburgh,24.16%
31,Tampa Bay,23.74%
32,Atlanta,23.50%
