Rank,Team,2020 3rd-quarter-points-per-game
1,Minnesota,7.2
2,Seattle,7.1
3,Tampa Bay,6.8
4,Green Bay,6.8
5,New Orleans,6.0
6,Tennessee,5.9
7,Buffalo,5.9
8,Baltimore,5.9
9,Kansas City,5.6
10,Arizona,5.6
11,LA Chargers,5.6
12,LA Rams,5.3
13,Houston,5.1
13,New England,5.1
15,Las Vegas,4.8
15,Detroit,4.8
15,San Francisco,4.8
18,Pittsburgh,4.8
19,Jacksonville,4.8
20,Washington,4.6
21,Denver,4.4
22,Atlanta,4.4
23,Dallas,4.2
24,NY Jets,4.0
24,Cleveland,4.0
24,Indianapolis,4.0
27,Carolina,3.6
27,Philadelphia,3.6
29,Miami,3.6
30,NY Giants,3.5
31,Cincinnati,3.3
32,Chicago,2.8
