Rank,Team,2020 yards-per-game
1,Kansas City,414.7
2,Green Bay,393.8
3,Minnesota,393.3
4,Buffalo,385.4
5,Tennessee,385.4
6,Arizona,384.6
7,Indianapolis,383.6
8,Las Vegas,383.3
9,Tampa Bay,383.0
10,LA Chargers,382.1
11,Houston,375.3
12,New Orleans,372.3
13,Dallas,371.8
14,San Francisco,370.1
15,Atlanta,368.4
16,Cleveland,367.3
17,LA Rams,367.2
18,Seattle,364.1
19,Baltimore,363.9
20,Detroit,350.2
21,Carolina,349.5
22,Pittsburgh,347.5
23,Miami,339.0
24,Denver,335.6
25,Philadelphia,334.6
26,New England,327.3
27,Jacksonville,326.1
28,Chicago,325.9
29,Washington,320.6
30,Cincinnati,319.8
31,NY Giants,299.6
32,NY Jets,279.9
