Rank,Team,2020 1st-half-points-per-game
1,Green Bay,18.2
2,Indianapolis,16.1
3,Tampa Bay,15.9
4,Buffalo,15.5
5,New Orleans,15.4
5,Baltimore,15.4
7,Kansas City,15.2
8,Tennessee,14.7
9,Cleveland,14.3
10,Atlanta,13.9
11,LA Chargers,13.7
12,Miami,13.4
13,Pittsburgh,13.3
14,Las Vegas,13.3
15,Seattle,13.2
16,Dallas,12.9
16,Arizona,12.9
18,Carolina,12.3
19,Detroit,11.9
20,LA Rams,11.8
21,Chicago,11.6
22,Houston,11.5
23,Minnesota,10.9
24,San Francisco,10.8
25,Cincinnati,10.5
26,Philadelphia,10.3
27,NY Giants,9.1
28,New England,8.9
29,Jacksonville,8.7
30,Washington,8.4
31,Denver,8.1
32,NY Jets,7.9
