Rank,Team,2020 rushing-touchdown-pct
1,New England,55.56%
2,Washington,50.00%
2,Carolina,50.00%
4,New Orleans,48.44%
5,NY Giants,48.15%
6,Baltimore,45.61%
7,Arizona,44.90%
8,LA Rams,43.75%
9,San Francisco,42.22%
10,Las Vegas,41.67%
11,Cleveland,41.38%
12,Tennessee,41.27%
13,Indianapolis,39.62%
14,Cincinnati,39.39%
15,Philadelphia,38.10%
16,Detroit,37.78%
17,Denver,37.14%
18,Minnesota,36.36%
19,Miami,35.71%
20,NY Jets,34.62%
21,Dallas,33.33%
22,Atlanta,31.71%
23,Chicago,29.27%
24,Tampa Bay,27.40%
25,LA Chargers,26.67%
26,Seattle,26.32%
27,Buffalo,25.37%
28,Kansas City,25.00%
29,Green Bay,24.66%
30,Jacksonville,24.32%
31,Pittsburgh,23.64%
32,Houston,22.73%
